timestamp,value,target,featureName,className,action
ICU2GyfazbaDYHio8niuI6JoUPsROa4JxT38Xejwrgj4HBPzh4BXuew2YJYV
2017-10-31 13:01:25.362,yRltuZcipECMHSrnEWamS6g9DfE7EOeBoBOVkeyG7VvUsjmvOSiRkpNq5fKh,M,M,Job,NEW
2017-10-31 13:01:25.362,abE5kfQ4pebf6sPRmjy8mnXsXRynGKdxayYCtcSjXs6vqjzHMxA1STNhnYyRkVhfTCw7X,M,M,Task,NEW
2017-10-31 13:01:25.362,1219105428,abE5kfQ4pebf6sPRmjy8mnXsXRynGKdxayYCtcSjXs6vqjzHMxA1STNhnYyRkVhfTCw7X,durantion,Task,UPDATE
2017-10-31 13:01:25.362,0.15837121,abE5kfQ4pebf6sPRmjy8mnXsXRynGKdxayYCtcSjXs6vqjzHMxA1STNhnYyRkVhfTCw7X,consumedDisk,Task,UPDATE
2017-10-31 13:01:25.363,0.92721385,abE5kfQ4pebf6sPRmjy8mnXsXRynGKdxayYCtcSjXs6vqjzHMxA1STNhnYyRkVhfTCw7X,consumedCPUrate,Task,UPDATE
2017-10-31 13:01:25.363,yRltuZcipECMHSrnEWamS6g9DfE7EOeBoBOVkeyG7VvUsjmvOSiRkpNq5fKh,abE5kfQ4pebf6sPRmjy8mnXsXRynGKdxayYCtcSjXs6vqjzHMxA1STNhnYyRkVhfTCw7X,parentJob,Task,UPDATE
2017-10-31 13:01:25.363,OtgDCgyHFX0q0aGrBUis1Dmtep0pAayj3C5U7AP2ZFBsOqH5YjxbFMLEP1pIZ,abE5kfQ4pebf6sPRmjy8mnXsXRynGKdxayYCtcSjXs6vqjzHMxA1STNhnYyRkVhfTCw7X,hostMachine,Task,UPDATE
2017-10-31 13:01:25.363,UCbG3HO0xgvqmftyphKzqGQUu4G4oVmj5hYVRkw57Rr54vDZG53OvTPhtWXPDAg,M,M,Task,NEW
2017-10-31 13:01:25.363,-1696668480,UCbG3HO0xgvqmftyphKzqGQUu4G4oVmj5hYVRkw57Rr54vDZG53OvTPhtWXPDAg,durantion,Task,UPDATE
2017-10-31 13:01:25.363,0.20617634,UCbG3HO0xgvqmftyphKzqGQUu4G4oVmj5hYVRkw57Rr54vDZG53OvTPhtWXPDAg,consumedDisk,Task,UPDATE
2017-10-31 13:01:25.363,0.68998265,UCbG3HO0xgvqmftyphKzqGQUu4G4oVmj5hYVRkw57Rr54vDZG53OvTPhtWXPDAg,consumedCPUrate,Task,UPDATE
2017-10-31 13:01:25.363,yRltuZcipECMHSrnEWamS6g9DfE7EOeBoBOVkeyG7VvUsjmvOSiRkpNq5fKh,UCbG3HO0xgvqmftyphKzqGQUu4G4oVmj5hYVRkw57Rr54vDZG53OvTPhtWXPDAg,parentJob,Task,UPDATE
2017-10-31 13:01:25.363,AJTkEzA98dsxsrhAfPdrfkPqi4GpC2hfVDN0rpQeTw8P9kb1cNn3d2BbFPW,UCbG3HO0xgvqmftyphKzqGQUu4G4oVmj5hYVRkw57Rr54vDZG53OvTPhtWXPDAg,hostMachine,Task,UPDATE
2017-10-31 13:01:25.363,C2lmbbCoeyCMPXBGl7vV3HnoYsDPygCoXYytQCAxpDatRfLft2BNUpeLHR88EOS,M,M,Task,NEW
2017-10-31 13:01:25.363,-57514804,C2lmbbCoeyCMPXBGl7vV3HnoYsDPygCoXYytQCAxpDatRfLft2BNUpeLHR88EOS,durantion,Task,UPDATE
2017-10-31 13:01:25.363,0.2087279,C2lmbbCoeyCMPXBGl7vV3HnoYsDPygCoXYytQCAxpDatRfLft2BNUpeLHR88EOS,consumedDisk,Task,UPDATE
2017-10-31 13:01:25.363,0.38881862,C2lmbbCoeyCMPXBGl7vV3HnoYsDPygCoXYytQCAxpDatRfLft2BNUpeLHR88EOS,consumedCPUrate,Task,UPDATE
2017-10-31 13:01:25.363,yRltuZcipECMHSrnEWamS6g9DfE7EOeBoBOVkeyG7VvUsjmvOSiRkpNq5fKh,C2lmbbCoeyCMPXBGl7vV3HnoYsDPygCoXYytQCAxpDatRfLft2BNUpeLHR88EOS,parentJob,Task,UPDATE
2017-10-31 13:01:25.363,yaAvGKsXzn7TrrB0yoIkbfIlydT4MHnBdc61bDPhffa9lYscKGApvNV34MNbMp4T,C2lmbbCoeyCMPXBGl7vV3HnoYsDPygCoXYytQCAxpDatRfLft2BNUpeLHR88EOS,hostMachine,Task,UPDATE
2017-10-31 13:01:25.363,oonpaiOCp0REJb5KthI78C49bNu8JIjSDbjgfAysYkKkXET1PoImOgJcxFOpyTnGWPrYB,M,M,Task,NEW
2017-10-31 13:01:25.363,-1773856712,oonpaiOCp0REJb5KthI78C49bNu8JIjSDbjgfAysYkKkXET1PoImOgJcxFOpyTnGWPrYB,durantion,Task,UPDATE
2017-10-31 13:01:25.363,0.9754508,oonpaiOCp0REJb5KthI78C49bNu8JIjSDbjgfAysYkKkXET1PoImOgJcxFOpyTnGWPrYB,consumedDisk,Task,UPDATE
2017-10-31 13:01:25.364,0.5040926,oonpaiOCp0REJb5KthI78C49bNu8JIjSDbjgfAysYkKkXET1PoImOgJcxFOpyTnGWPrYB,consumedCPUrate,Task,UPDATE
2017-10-31 13:01:25.364,yRltuZcipECMHSrnEWamS6g9DfE7EOeBoBOVkeyG7VvUsjmvOSiRkpNq5fKh,oonpaiOCp0REJb5KthI78C49bNu8JIjSDbjgfAysYkKkXET1PoImOgJcxFOpyTnGWPrYB,parentJob,Task,UPDATE
2017-10-31 13:01:25.364,85zBwLvy5nuva2Zu9RmPSAuT36cDZkvgGsleRhRWdCUmbbX2kcO1CTffoXSSr4rxg,oonpaiOCp0REJb5KthI78C49bNu8JIjSDbjgfAysYkKkXET1PoImOgJcxFOpyTnGWPrYB,hostMachine,Task,UPDATE
2017-10-31 13:01:25.364,4Wo4MiwZeNUO0r39pWMV0x9wEna8tNRNrRM6t8IInhh9UUVwgiYEUrzi00fb,M,M,Task,NEW
2017-10-31 13:01:25.364,776591084,4Wo4MiwZeNUO0r39pWMV0x9wEna8tNRNrRM6t8IInhh9UUVwgiYEUrzi00fb,durantion,Task,UPDATE
2017-10-31 13:01:25.364,0.051286638,4Wo4MiwZeNUO0r39pWMV0x9wEna8tNRNrRM6t8IInhh9UUVwgiYEUrzi00fb,consumedDisk,Task,UPDATE
2017-10-31 13:01:25.364,0.43766862,4Wo4MiwZeNUO0r39pWMV0x9wEna8tNRNrRM6t8IInhh9UUVwgiYEUrzi00fb,consumedCPUrate,Task,UPDATE
2017-10-31 13:01:25.364,yRltuZcipECMHSrnEWamS6g9DfE7EOeBoBOVkeyG7VvUsjmvOSiRkpNq5fKh,4Wo4MiwZeNUO0r39pWMV0x9wEna8tNRNrRM6t8IInhh9UUVwgiYEUrzi00fb,parentJob,Task,UPDATE
2017-10-31 13:01:25.364,GRmUnbuNHbBVPbNPf5piOzGp0SFmJu1JoyGRu1pYtwC6Lmu38ShEucbW32aE9H,4Wo4MiwZeNUO0r39pWMV0x9wEna8tNRNrRM6t8IInhh9UUVwgiYEUrzi00fb,hostMachine,Task,UPDATE
2017-10-31 13:01:25.364,kzvYRvA27RiAY17rNe8ViWv9CNzsthxj9I2Fpn8uaUgTUEi6Kwg6BeFPIzFepJ7qd,M,M,Task,NEW
2017-10-31 13:01:25.364,-1414235856,kzvYRvA27RiAY17rNe8ViWv9CNzsthxj9I2Fpn8uaUgTUEi6Kwg6BeFPIzFepJ7qd,durantion,Task,UPDATE
2017-10-31 13:01:25.364,0.9814838,kzvYRvA27RiAY17rNe8ViWv9CNzsthxj9I2Fpn8uaUgTUEi6Kwg6BeFPIzFepJ7qd,consumedDisk,Task,UPDATE
2017-10-31 13:01:25.364,0.73928523,kzvYRvA27RiAY17rNe8ViWv9CNzsthxj9I2Fpn8uaUgTUEi6Kwg6BeFPIzFepJ7qd,consumedCPUrate,Task,UPDATE
2017-10-31 13:01:25.364,yRltuZcipECMHSrnEWamS6g9DfE7EOeBoBOVkeyG7VvUsjmvOSiRkpNq5fKh,kzvYRvA27RiAY17rNe8ViWv9CNzsthxj9I2Fpn8uaUgTUEi6Kwg6BeFPIzFepJ7qd,parentJob,Task,UPDATE
2017-10-31 13:01:25.364,Ncjp0Oy5HbIAMBW3j6IElRAXhDrMzkhttxJfMUp4SYVYHCxHoOgIe7hJpSBCGWaxYzU,kzvYRvA27RiAY17rNe8ViWv9CNzsthxj9I2Fpn8uaUgTUEi6Kwg6BeFPIzFepJ7qd,hostMachine,Task,UPDATE
2017-10-31 13:01:25.364,F0GheuOSTXHzzbB0AsuHsyVt0OYIDr6JAlhRQuTPeEM4BdgmM0k3CvBgdJoxmtc,M,M,Task,NEW
2017-10-31 13:01:25.364,-1751069056,F0GheuOSTXHzzbB0AsuHsyVt0OYIDr6JAlhRQuTPeEM4BdgmM0k3CvBgdJoxmtc,durantion,Task,UPDATE
2017-10-31 13:01:25.364,8.867979E-4,F0GheuOSTXHzzbB0AsuHsyVt0OYIDr6JAlhRQuTPeEM4BdgmM0k3CvBgdJoxmtc,consumedDisk,Task,UPDATE
2017-10-31 13:01:25.364,0.566983,F0GheuOSTXHzzbB0AsuHsyVt0OYIDr6JAlhRQuTPeEM4BdgmM0k3CvBgdJoxmtc,consumedCPUrate,Task,UPDATE
2017-10-31 13:01:25.365,yRltuZcipECMHSrnEWamS6g9DfE7EOeBoBOVkeyG7VvUsjmvOSiRkpNq5fKh,F0GheuOSTXHzzbB0AsuHsyVt0OYIDr6JAlhRQuTPeEM4BdgmM0k3CvBgdJoxmtc,parentJob,Task,UPDATE
